GPSLocationID|LastUpdate|Latitude|Longitude|phoneNumber|sessionID|speed|direction|distance|gpsTime|LocationMethod|accuracy|isLocationValid|extraInfo
4|2008-04-16 14:59:52.137000000|47.473349|-122.025035|molly|1208372106690|0|0|0|2008-04-16 11:59:51|8|0|false|Invalid Location: Time out, fix unattainable and assist unavailable.
12|2008-04-16 15:09:04.077000000|47.446123|-121.988437|molly|1208372106690|0|139|3|2008-04-16 12:09:03|327681|70|true|Valid Location.
13|2008-04-16 15:10:13.200000000|47.437515|-121.978176|molly|1208372106690|44|141|4|2008-04-16 12:10:11|327681|44|true|Valid Location.
14|2008-04-16 15:11:16.230000000|47.433877|-121.973387|molly|1208372106690|24|138|4|2008-04-16 12:11:14|327681|52|true|Valid Location.
15|2008-04-16 15:12:20.310000000|47.436571|-121.967061|molly|1208372106690|49|57|4|2008-04-16 12:12:19|327681|44|true|Valid Location.
16|2008-04-16 15:13:38.293000000|47.449381|-121.958283|molly|1208372106690|45|24|5|2008-04-16 12:13:34|327681|132|true|Valid Location.
17|2008-04-16 15:14:51.497000000|47.461755|-121.945067|molly|1208372106690|52|35|6|2008-04-16 12:14:51|327681|70|true|Valid Location.
18|2008-04-16 15:15:54.480000000|47.465712|-121.928203|molly|1208372106690|0|70|7|2008-04-16 12:15:53|327681|52|true|Valid Location.
19|2008-04-16 15:17:06.607000000|47.473136|-121.906763|molly|1208372106690|55|62|8|2008-04-16 12:17:06|327681|117|true|Valid Location.
20|2008-04-16 15:18:29.030000000|47.484347|-121.889056|molly|1208372106690|56|46|9|2008-04-16 12:18:27|327681|104|true|Valid Location.
21|2008-04-16 15:19:35.263000000|47.499045|-121.885739|molly|1208372106690|0|8|10|2008-04-16 12:19:33|327681|60|true|Valid Location.
22|2008-04-16 15:20:37.217000000|47.508517|-121.880395|molly|1208372106690|51|20|11|2008-04-16 12:20:35|327681|91|true|Valid Location.
23|2008-04-16 15:21:37.810000000|47.510901|-121.857973|molly|1208372106690|69|81|12|2008-04-16 12:21:35|327681|52|true|Valid Location.
24|2008-04-16 15:22:55.827000000|47.508485|-121.829131|molly|1208372106690|68|97|14|2008-04-16 12:22:55|327681|70|true|Valid Location.
25|2008-04-16 15:24:07.137000000|47.494528|-121.811840|molly|1208372106690|57|140|15|2008-04-16 12:24:06|327681|70|true|Valid Location.
26|2008-04-16 15:25:08.170000000|47.485893|-121.794368|molly|1208372106690|60|126|16|2008-04-16 12:25:07|327681|80|true|Valid Location.
27|2008-04-16 15:26:09.340000000|47.473557|-121.779776|molly|1208372106690|69|141|17|2008-04-16 12:26:08|327681|104|true|Valid Location.
28|2008-04-16 15:27:21.903000000|47.473323|-121.749280|molly|1208372106690|62|90|18|2008-04-16 12:27:21|327681|132|true|Valid Location.
29|2008-04-16 15:28:24.683000000|47.468064|-121.725557|molly|1208372106690|70|108|20|2008-04-16 12:28:24|327681|70|true|Valid Location.
30|2008-04-16 15:29:31.827000000|47.458677|-121.703264|molly|1208372106690|0|121|21|2008-04-16 12:29:30|327681|132|true|Valid Location.
31|2008-04-16 15:30:31.433000000|47.444704|-121.691840|molly|1208372106690|69|151|22|2008-04-16 12:30:30|327681|70|true|Valid Location.
32|2008-04-16 15:31:37.840000000|47.443136|-121.664373|molly|1208372106690|65|94|23|2008-04-16 12:31:36|327681|80|true|Valid Location.
33|2008-04-16 15:32:42.827000000|47.434107|-121.641504|molly|1208372106690|50|120|24|2008-04-16 12:32:41|327681|149|true|Valid Location.
34|2008-04-16 15:33:52.077000000|47.429093|-121.615371|molly|1208372106690|67|105|26|2008-04-16 12:33:50|327681|91|true|Valid Location.
35|2008-04-16 15:34:56.887000000|47.421152|-121.592448|molly|1208372106690|52|117|27|2008-04-16 12:34:56|327681|104|true|Valid Location.
